ID,City,Code,X_WGS84_SW,Y_WGS84_SW,X_WGS84_NE,Y_WGS84_NE
1,北京,131,,,,
2,上海,289,,,,
3,广州,257,112.956429,22.557131,114.055893, 23.936867
4,深圳,340,,,,
5,成都,75,,,,
6,天津,332,,,,
7,南京,315,,,,
8,杭州,179,,,,
9,武汉,218,,,,
10,重庆,132,,,,
11,惠州,301,,,,
