OBJECTID,X_Origin,Y_Origin,X_Projected,Y_Projected
1,113.634268,22.55757878,113.64575574856,22.560898532372
2,113.6352496,22.55757878,113.64673444847,22.560898972878
3,113.6362313,22.55757878,113.64772037559,22.560893354807
4,113.634268,22.55847471,113.64575202038,22.561791174783
5,113.6352496,22.55847471,113.6467375026,22.561792702869
6,113.6362313,22.55847471,113.64771828312,22.56179549995
7,113.637213,22.55847471,113.64869815336,22.561794689534
8,113.6381946,22.55847471,113.64968145531,22.561790808376
9,113.6332863,22.55937064,113.64477385348,22.562686551846
10,113.634268,22.55937064,113.64575264913,22.56269087632
11,113.6352496,22.55937064,113.64673704018,22.562686435891
12,113.6362313,22.55937064,113.64772297608,22.562689499339
13,113.637213,22.55937064,113.64869931771,22.562687336314
14,113.6381946,22.55937064,113.64968696833,22.562689139531
15,113.6391763,22.55937064,113.65066610401,22.562684381656
16,113.640158,22.55937064,113.65165030613,22.562684425223
17,113.6323046,22.56026658,113.64378475246,22.563578025911
18,113.6332863,22.56026658,113.64476906602,22.563585432406
19,113.634268,22.56026658,113.64575327734,22.563581897204
20,113.6352496,22.56026658,113.64673984434,22.563583154159
21,113.6362313,22.56026658,113.64771519564,22.563583244042
22,113.637213,22.56026658,113.64870511247,22.56358865727
23,113.6381946,22.56026658,113.64969004533,22.563586123101
24,113.6391763,22.56026658,113.65066890856,22.56358000773
25,113.640158,22.56026658,113.65165148027,22.563578429517
26,113.6411396,22.56026658,113.65263666746,22.563575156151
27,113.6323046,22.56116251,113.64378918392,22.564470142188
28,113.6332863,22.56116251,113.6447724145,22.56447862907
29,113.634268,22.56116251,113.64575120157,22.564475088173
30,113.6352496,22.56116251,113.6467404839,22.564479331651
31,113.6362313,22.56116251,113.64771855208,22.564482945721
32,113.637213,22.56116251,113.64870357597,22.564479956056
33,113.6381946,22.56116251,113.6496866153,22.564484212914
34,113.6391763,22.56116251,113.650673895,22.564479425032
35,113.640158,22.56116251,113.65165157336,22.564471354982
36,113.6411396,22.56116251,113.65263921071,22.564474037522
37,113.6421213,22.56116251,113.65362456711,22.564468548251
38,113.643103,22.56116251,113.65460248063,22.564459017476
39,113.631323,22.56205844,113.64280814269,22.56536888004
40,113.6323046,22.56205844,113.64379199635,22.565365782482
41,113.6332863,22.56205844,113.64476926179,22.565374801017
42,113.634268,22.56205844,113.64575266267,22.565374793973
43,113.6352496,22.56205844,113.64674004197,22.565374967655
44,113.6362313,22.56205844,113.64772651845,22.565375859627
45,113.637213,22.56205844,113.64870123446,22.565376141201
46,113.6381946,22.56205844,113.64969051504,22.565379296857
47,113.6391763,22.56205844,113.65067019555,22.565376164049
48,113.640158,22.56205844,113.65165574712,22.565367788885
49,113.6411396,22.56205844,113.65263876529,22.565367510282
50,113.6421213,22.56205844,113.6536265661,22.565362006168
51,113.643103,22.56205844,113.65460557067,22.565356536285
52,113.6440846,22.56205844,113.65559207164,22.565349107986
