OBJECTID,X_WGS84,Y_WGS84,X_BD09,Y_BD09
1,113.634268,22.55757878,113.64574787773,22.560893372298
2,113.6352496,22.55757878,113.64673526152,22.560898158685
3,113.6362313,22.55757878,113.64771495588,22.560900415662
4,113.634268,22.55847471,113.64574849759,22.561794428393
5,113.6352496,22.55847471,113.64673479382,22.56179677346
6,113.6362313,22.55847471,113.64772017624,22.56178925728
7,113.637213,22.55847471,113.64869733544,22.561790892759
8,113.6381946,22.55847471,113.64968172377,22.561787823024
9,113.6332863,22.55937064,113.6447697879,22.562688716113
10,113.634268,22.55937064,113.64575644367,22.562688165507
11,113.6352496,22.55937064,113.64673351869,22.562691592003
12,113.6362313,22.55937064,113.64771673626,22.562690320808
13,113.637213,22.55937064,113.64870203043,22.56268624529
14,113.6381946,22.55937064,113.64968398341,22.562689962524
15,113.6391763,22.55937064,113.65066637385,22.562682752661
16,113.640158,22.55937064,113.65165193775,22.56268685928
17,113.6323046,22.56026658,113.6437939749,22.56358184714
18,113.6332863,22.56026658,113.64476824614,22.563579190733
19,113.634268,22.56026658,113.64575408912,22.563579998466
20,113.6352496,22.56026658,113.64673469327,22.563586411491
21,113.6362313,22.56026658,113.64772442561,22.563587845432
22,113.637213,22.56026658,113.64869941456,22.563589754611
23,113.6381946,22.56026658,113.64968569859,22.563582337729
24,113.6391763,22.56026658,113.65066537934,22.563580021568
25,113.640158,22.56026658,113.65165663791,22.563577048076
26,113.6411396,22.56026658,113.65263992717,22.563575951577
27,113.6323046,22.56116251,113.64378837107,22.564470682827
28,113.6332863,22.56116251,113.64477539504,22.564476191792
29,113.634268,22.56116251,113.64575717257,22.564478890476
30,113.6352496,22.56116251,113.64673913025,22.564482045263
31,113.6362313,22.56116251,113.64772533372,22.564481309627
32,113.637213,22.56116251,113.64870873194,22.564479673814
33,113.6381946,22.56116251,113.64969041312,22.56448203084
34,113.6391763,22.56116251,113.65067362518,22.564481054032
35,113.640158,22.56116251,113.65165293901,22.564479216801
36,113.6411396,22.56116251,113.65263866175,22.564468342842
37,113.6421213,22.56116251,113.65361723502,22.564470224207
38,113.643103,22.56116251,113.6546024881,22.564466343181
39,113.631323,22.56205844,113.642808954,22.565366983524
40,113.6323046,22.56205844,113.64379525885,22.565374472816
41,113.6332863,22.56205844,113.64477549875,22.565374539376
42,113.634268,22.56205844,113.64576026192,22.565379411271
43,113.6352496,22.56205844,113.64673923145,22.565378223759
44,113.6362313,22.56205844,113.64772624545,22.565374232018
45,113.637213,22.56205844,113.64870258998,22.565374781721
46,113.6381946,22.56205844,113.64969051448,22.565378754212
47,113.6391763,22.56205844,113.65067508245,22.565376416195
48,113.640158,22.56205844,113.65165032546,22.565376497331
49,113.6411396,22.56205844,113.65264011927,22.565363704041
50,113.6421213,22.56205844,113.65362140919,22.565365838486
51,113.643103,22.56205844,113.65460965176,22.565362475259
52,113.6440846,22.56205844,113.65559370191,22.565349094591
53,113.631323,22.56295437,113.64281528854,22.566258839342
54,113.6323046,22.56295437,113.64378804011,22.566268732225
55,113.6332863,22.56295437,113.64477723119,22.566272347284
56,113.634268,22.56295437,113.64575683302,22.566269346816
57,113.6352496,22.56295437,113.64674422069,22.566277114528
58,113.6362313,22.56295437,113.6477268994,22.56627827941
59,113.637213,22.56295437,113.64870459191,22.566270144164
60,113.6381946,22.56295437,113.64968545778,22.566272509067
61,113.6391763,22.56295437,113.65067708288,22.566269877409
62,113.640158,22.56295437,113.6516574843,22.566269118797
63,113.6411396,22.56295437,113.65264348942,22.566268279837
64,113.6421213,22.56295437,113.65362667088,22.566260360788
65,113.643103,22.56295437,113.65460404454,22.566254089666
66,113.6440846,22.56295437,113.65559679229,22.566244441457
67,113.6450663,22.56295437,113.6565815533,22.566238121876
68,113.646048,22.56295437,113.6575623967,22.566235675737
69,113.6303413,22.56385031,113.64182493318,22.567151773185
70,113.631323,22.56385031,113.64281620791,22.567156917361
71,113.6323046,22.56385031,113.64379437908,22.567163839064
72,113.6332863,22.56385031,113.64477841559,22.567164456621
73,113.634268,22.56385031,113.64576182361,22.567170140629
74,113.6352496,22.56385031,113.64673807999,22.567168682808
75,113.6362313,22.56385031,113.64772482878,22.567171205884
76,113.637213,22.56385031,113.64870361129,22.567167954865
77,113.6381946,22.56385031,113.64968882222,22.567172750273
78,113.6391763,22.56385031,113.65067745569,22.567164430352
79,113.640158,22.56385031,113.65165867662,22.567168552106
80,113.6411396,22.56385031,113.65264359275,22.567165005861
81,113.6421213,22.56385031,113.65362948949,22.567156255748
