OBJECTID,Address,Latitude_BD09MC,Longitude_BD09MC,Latitude_BD09,Longitude_BD09,Latitude_WGS84,Longitude_WGS84
4,燕塘地铁口肯德基,2635270,12616600,23.167036909507,113.33561293753,23.16390351330945,113.32363006186728
35,横枝岗前寮13号102房,,,,,,
51,人和大街建设银行（七天连锁酒店对面）,,,,,,
61,狮岭商行街中国邮政,,,,,,
72,五号停机坪内,2637469.28,12609370.44,23.185303414397,113.27066940173,23.181729123530808,113.25886976808361
74,沙太南汉庭酒店,,,,,,
