OBJECTID,Address
4,燕塘地铁口肯德基
35,横枝岗前寮13号102房
51,人和大街建设银行（七天连锁酒店对面）
61,狮岭商行街中国邮政
72,五号停机坪内
74,沙太南汉庭酒店
