OBJECTID,X_WGS84,Y_WGS84,X_BD09,Y_BD09
1,113.1955317,23.39821473,113.2074567,23.40148775
2,113.4975397,23.19116723,113.5093426,23.19474507
3,113.4541488,23.10268924,113.4661764,23.10578825
4,113.4128335,23.08747371,113.4248279,23.09116351
5,113.1686764,23.35595261,113.1805547,23.3596969
6,113.4154185,23.23584736,113.4274025,23.23954194
7,113.2715219,23.0034208,113.283266,23.00702859
8,113.18465,23.35711324,113.1965507,23.3605756
9,113.7988332,23.17091746,113.8105181,23.17399582
10,113.1928044,23.15997517,113.2047187,23.16322338
11,113.2936206,23.24837197,113.3054384,23.25195655
12,113.5970979,23.14067672,113.6086936,23.14368435
13,113.3652973,23.48010323,113.3773027,23.48368798
14,113.7585281,23.1663126,113.7701663,23.16998709
15,113.4409685,23.27226096,113.4530087,23.27553122
16,113.409897,22.9717444,113.4218765,22.97542284
17,113.4956591,23.54832797,113.5074949,23.55194511
18,114.0124608,23.78856446,114.024053,23.7921961
19,113.6210402,23.69130922,113.6326164,23.69479348
20,113.2988772,23.5366095,113.310777,23.54016951
21,113.3799829,22.79215994,113.3919236,22.7957619
22,113.9134523,23.34863851,113.9248954,23.35171094
23,113.3904645,23.55470381,113.4024752,23.55864021
24,113.9157571,23.77357967,113.9272472,23.77660401
25,113.4638403,23.04180919,113.4758214,23.04489545
26,113.9607883,23.32884204,113.9722772,23.33205756
27,113.3722896,22.77409959,113.3842306,22.77757935
28,113.6595252,23.72333993,113.6711523,23.72670252
29,113.640894,23.61471376,113.652444,23.61829757
30,113.4917604,23.59744306,113.503598,23.60100128
31,113.9958448,23.91075788,114.0073718,23.91442566
32,113.433771,22.87259424,113.4457786,22.87580936
33,113.3964269,22.7548006,113.4083483,22.75849244
34,113.3862724,23.19529593,113.3982562,23.19914313
35,113.9098651,23.82191894,113.9213313,23.82501709
36,113.6987085,23.64706636,113.7105013,23.65009355
37,113.248419,23.44985188,113.2602684,23.45333043
38,113.365056,23.57585199,113.3770931,23.57943281
39,113.9258266,23.89747055,113.9373627,23.90034145
40,113.7350644,23.32190078,113.7467644,23.32546699
41,113.2300954,23.56734102,113.2420258,23.57053423
42,113.6216458,23.51280215,113.6331927,23.51630327
43,113.5781466,23.2236902,113.5898224,23.22654101
44,113.25568,23.07263748,113.2674904,23.07612597
45,113.5452318,23.57356326,113.5569321,23.57685156
46,113.4628479,22.82285368,113.4748445,22.82585419
47,113.6190607,23.27028375,113.6305967,23.27370953
48,113.3505651,23.17517904,113.362608,23.17842938
49,113.7887076,23.51899826,113.8003929,23.52232436
50,113.644911,23.18239882,113.6564734,23.1859014
51,113.0915667,23.41148384,113.1036655,23.41474338
52,113.2849339,22.99983881,113.2967092,23.00342056
53,113.6871227,23.16874281,113.6988614,23.17170835
54,113.0936375,23.40190812,113.1057249,23.40515881
55,113.6129212,23.42500518,113.6245077,23.42837708
56,113.82369,23.71110096,113.8353558,23.71410331
57,113.5589059,22.78219187,113.570544,22.78499279
58,113.3978026,23.23743288,113.4097563,23.24131266
59,113.5406234,22.89274886,113.5522559,22.89593407
60,113.6326674,23.44546155,113.6442231,23.44905988
61,113.4053246,23.30641721,113.417321,23.31028004
62,113.4741805,23.26236583,113.4861106,23.26563718
63,113.8282186,23.82949297,113.8398691,23.8325017
64,113.4763191,22.85488672,113.4882332,22.85802479
65,113.5750463,23.2325644,113.5867109,23.2354167
66,113.2260674,23.34230999,113.2379777,23.34543257
67,113.777252,23.69284904,113.7889432,23.69637198
68,113.3471417,23.62146769,113.359183,23.6247307
69,113.8046571,23.38063765,113.8163371,23.38369511
70,113.501054,23.2750605,113.5128082,23.27868858
71,113.6148618,23.16458423,113.6264135,23.16791123
72,113.9530005,23.8692255,113.9645076,23.87224328
73,113.8609773,23.79070351,113.8724539,23.794188
74,113.1774078,23.29646354,113.1893157,23.30005869
75,113.4929099,23.12797277,113.504699,23.13145954
76,113.7206174,23.55866427,113.7323859,23.56199777
77,113.6114002,22.64377073,113.6229076,22.6468443
78,113.148008,23.50372461,113.1599109,23.50758909
79,113.3954817,22.93658833,113.4074468,22.94035715
80,113.304396,22.94509917,113.3162926,22.94840105
81,113.2798732,23.12956182,113.2916374,23.13322676
82,113.6819868,23.57844552,113.6937336,23.5815184
83,113.7202906,23.62212298,113.7320298,23.62543337
84,113.2856116,23.33260903,113.2974352,23.33631162
85,113.447692,23.30330358,113.4597651,23.3065161
86,113.3520809,23.64318687,113.3641399,23.64652665
87,113.6057858,23.23750397,113.6173521,23.24069913
88,113.6747205,23.65403552,113.6864523,23.65718521
89,113.6622791,23.13624639,113.6738832,23.13950515
90,113.4406125,23.58015368,113.4526875,23.58346897
91,113.3871491,22.92459337,113.3990962,22.9283264
92,113.5574354,23.63644629,113.5691388,23.63949482
93,113.4252381,22.95538102,113.437261,22.95879702
94,113.259787,23.39072773,113.2715748,23.39437005
95,113.9145305,23.47639707,113.9259806,23.47946556
96,113.3997966,23.61698052,113.4117775,23.6209011
97,113.1124029,23.33186742,113.1244713,23.33523699
98,113.6829741,23.19386617,113.6947212,23.1968713
99,113.2465855,23.58085493,113.2584385,23.5843061
100,113.1739008,23.4350339,113.1858214,23.43872102
101,113.7535158,23.78025688,113.7652031,23.78397783
102,113.7141529,23.31225601,113.7259185,23.31544226
