OBJECTID,X_WGS84,Y_WGS84
1,113.634268,22.55757878
2,113.6352496,22.55757878
3,113.6362313,22.55757878
4,113.634268,22.55847471
5,113.6352496,22.55847471
6,113.6362313,22.55847471
7,113.637213,22.55847471
8,113.6381946,22.55847471
9,113.6332863,22.55937064
10,113.634268,22.55937064
11,113.6352496,22.55937064
12,113.6362313,22.55937064
13,113.637213,22.55937064
14,113.6381946,22.55937064
15,113.6391763,22.55937064
16,113.640158,22.55937064
17,113.6323046,22.56026658
18,113.6332863,22.56026658
19,113.634268,22.56026658
20,113.6352496,22.56026658
21,113.6362313,22.56026658
22,113.637213,22.56026658
23,113.6381946,22.56026658
24,113.6391763,22.56026658
25,113.640158,22.56026658
26,113.6411396,22.56026658
27,113.6323046,22.56116251
28,113.6332863,22.56116251
29,113.634268,22.56116251
30,113.6352496,22.56116251
31,113.6362313,22.56116251
32,113.637213,22.56116251
33,113.6381946,22.56116251
34,113.6391763,22.56116251
35,113.640158,22.56116251
36,113.6411396,22.56116251
37,113.6421213,22.56116251
38,113.643103,22.56116251
39,113.631323,22.56205844
40,113.6323046,22.56205844
41,113.6332863,22.56205844
42,113.634268,22.56205844
43,113.6352496,22.56205844
44,113.6362313,22.56205844
45,113.637213,22.56205844
46,113.6381946,22.56205844
47,113.6391763,22.56205844
48,113.640158,22.56205844
49,113.6411396,22.56205844
50,113.6421213,22.56205844
51,113.643103,22.56205844
52,113.6440846,22.56205844
53,113.631323,22.56295437
54,113.6323046,22.56295437
55,113.6332863,22.56295437
56,113.634268,22.56295437
57,113.6352496,22.56295437
58,113.6362313,22.56295437
59,113.637213,22.56295437
60,113.6381946,22.56295437
61,113.6391763,22.56295437
62,113.640158,22.56295437
63,113.6411396,22.56295437
64,113.6421213,22.56295437
65,113.643103,22.56295437
66,113.6440846,22.56295437
67,113.6450663,22.56295437
68,113.646048,22.56295437
69,113.6303413,22.56385031
70,113.631323,22.56385031
71,113.6323046,22.56385031
72,113.6332863,22.56385031
73,113.634268,22.56385031
74,113.6352496,22.56385031
75,113.6362313,22.56385031
76,113.637213,22.56385031
77,113.6381946,22.56385031
78,113.6391763,22.56385031
79,113.640158,22.56385031
80,113.6411396,22.56385031
81,113.6421213,22.56385031
82,113.643103,22.56385031
83,113.6440846,22.56385031
84,113.6450663,22.56385031
85,113.646048,22.56385031
86,113.6470296,22.56385031
87,113.6293597,22.56474624
88,113.6303413,22.56474624
89,113.631323,22.56474624
90,113.6323046,22.56474624
91,113.6332863,22.56474624
92,113.634268,22.56474624
93,113.6352496,22.56474624
94,113.6362313,22.56474624
95,113.637213,22.56474624
96,113.6381946,22.56474624
97,113.6391763,22.56474624
98,113.640158,22.56474624
99,113.6411396,22.56474624
100,113.6421213,22.56474624
101,113.643103,22.56474624
102,113.6440846,22.56474624
103,113.6450663,22.56474624
104,113.646048,22.56474624
105,113.6470296,22.56474624
106,113.6480113,22.56474624
107,113.6489929,22.56474624
108,113.6293597,22.56564217
109,113.6303413,22.56564217
110,113.631323,22.56564217
111,113.6323046,22.56564217
112,113.6332863,22.56564217
113,113.634268,22.56564217
114,113.6352496,22.56564217
115,113.6362313,22.56564217
116,113.637213,22.56564217
117,113.6381946,22.56564217
118,113.6391763,22.56564217
119,113.640158,22.56564217
120,113.6411396,22.56564217
121,113.6421213,22.56564217
122,113.643103,22.56564217
123,113.6440846,22.56564217
124,113.6450663,22.56564217
125,113.646048,22.56564217
126,113.6470296,22.56564217
127,113.6480113,22.56564217
128,113.6489929,22.56564217
129,113.6499746,22.56564217
130,113.628378,22.5665381
131,113.6293597,22.5665381
132,113.6303413,22.5665381
133,113.631323,22.5665381
134,113.6323046,22.5665381
135,113.6332863,22.5665381
136,113.634268,22.5665381
137,113.6352496,22.5665381
138,113.6362313,22.5665381
139,113.637213,22.5665381
140,113.6381946,22.5665381
141,113.6391763,22.5665381
142,113.640158,22.5665381
143,113.6411396,22.5665381
144,113.6421213,22.5665381
145,113.643103,22.5665381
146,113.6440846,22.5665381
147,113.6450663,22.5665381
148,113.646048,22.5665381
149,113.6470296,22.5665381
150,113.6480113,22.5665381
151,113.6489929,22.5665381
152,113.6499746,22.5665381
153,113.6509563,22.5665381
154,113.6519379,22.5665381
155,113.628378,22.56743404
156,113.6293597,22.56743404
157,113.6303413,22.56743404
158,113.631323,22.56743404
159,113.6323046,22.56743404
160,113.6332863,22.56743404
161,113.634268,22.56743404
162,113.6352496,22.56743404
163,113.6362313,22.56743404
164,113.637213,22.56743404
165,113.6381946,22.56743404
166,113.6391763,22.56743404
167,113.640158,22.56743404
168,113.6411396,22.56743404
169,113.6421213,22.56743404
170,113.643103,22.56743404
171,113.6440846,22.56743404
172,113.6450663,22.56743404
173,113.646048,22.56743404
174,113.6470296,22.56743404
175,113.6480113,22.56743404
176,113.6489929,22.56743404
177,113.6499746,22.56743404
178,113.6509563,22.56743404
179,113.6519379,22.56743404
180,113.6529196,22.56743404
181,113.6539013,22.56743404
182,113.6273963,22.56832997
183,113.628378,22.56832997
184,113.6293597,22.56832997
185,113.6303413,22.56832997
186,113.631323,22.56832997
187,113.6323046,22.56832997
188,113.6332863,22.56832997
189,113.634268,22.56832997
190,113.6352496,22.56832997
191,113.6362313,22.56832997
192,113.637213,22.56832997
193,113.6381946,22.56832997
194,113.6391763,22.56832997
195,113.640158,22.56832997
196,113.6411396,22.56832997
197,113.6421213,22.56832997
198,113.643103,22.56832997
199,113.6440846,22.56832997
200,113.6450663,22.56832997
201,113.646048,22.56832997
202,113.6470296,22.56832997
203,113.6480113,22.56832997
204,113.6489929,22.56832997
205,113.6499746,22.56832997
206,113.6509563,22.56832997
207,113.6519379,22.56832997
208,113.6529196,22.56832997
209,113.6539013,22.56832997
210,113.6548829,22.56832997
211,113.6264147,22.5692259
212,113.6273963,22.5692259
213,113.628378,22.5692259
214,113.6293597,22.5692259
215,113.6303413,22.5692259
216,113.631323,22.5692259
217,113.6323046,22.5692259
218,113.6332863,22.5692259
219,113.634268,22.5692259
220,113.6352496,22.5692259
221,113.6362313,22.5692259
222,113.637213,22.5692259
223,113.6381946,22.5692259
224,113.6391763,22.5692259
225,113.640158,22.5692259
226,113.6411396,22.5692259
227,113.6421213,22.5692259
228,113.643103,22.5692259
229,113.6440846,22.5692259
230,113.6450663,22.5692259
231,113.646048,22.5692259
232,113.6470296,22.5692259
233,113.6480113,22.5692259
234,113.6489929,22.5692259
235,113.6499746,22.5692259
236,113.6509563,22.5692259
237,113.6519379,22.5692259
238,113.6529196,22.5692259
239,113.6539013,22.5692259
240,113.6548829,22.5692259
241,113.6558646,22.5692259
242,113.6568463,22.5692259
243,113.6264147,22.57012183
244,113.6273963,22.57012183
245,113.628378,22.57012183
246,113.6293597,22.57012183
247,113.6303413,22.57012183
248,113.631323,22.57012183
249,113.6323046,22.57012183
250,113.6332863,22.57012183
251,113.634268,22.57012183
252,113.6352496,22.57012183
253,113.6362313,22.57012183
254,113.637213,22.57012183
255,113.6381946,22.57012183
256,113.6391763,22.57012183
257,113.640158,22.57012183
258,113.6411396,22.57012183
259,113.6421213,22.57012183
260,113.643103,22.57012183
261,113.6440846,22.57012183
262,113.6450663,22.57012183
263,113.646048,22.57012183
264,113.6470296,22.57012183
265,113.6480113,22.57012183
266,113.6489929,22.57012183
267,113.6499746,22.57012183
268,113.6509563,22.57012183
269,113.6519379,22.57012183
270,113.6529196,22.57012183
271,113.6539013,22.57012183
272,113.6548829,22.57012183
273,113.6558646,22.57012183
274,113.6568463,22.57012183
275,113.6578279,22.57012183
276,113.625433,22.57101777
277,113.6264147,22.57101777
278,113.6273963,22.57101777
279,113.628378,22.57101777
280,113.6293597,22.57101777
281,113.6303413,22.57101777
282,113.631323,22.57101777
283,113.6323046,22.57101777
284,113.6332863,22.57101777
285,113.634268,22.57101777
286,113.6352496,22.57101777
287,113.6362313,22.57101777
288,113.637213,22.57101777
289,113.6381946,22.57101777
290,113.6391763,22.57101777
291,113.640158,22.57101777
292,113.6411396,22.57101777
293,113.6421213,22.57101777
294,113.643103,22.57101777
295,113.6440846,22.57101777
296,113.6450663,22.57101777
297,113.646048,22.57101777
298,113.6470296,22.57101777
299,113.6480113,22.57101777
300,113.6489929,22.57101777
301,113.6499746,22.57101777
302,113.6509563,22.57101777
303,113.6519379,22.57101777
304,113.6529196,22.57101777
305,113.6539013,22.57101777
306,113.6548829,22.57101777
307,113.6558646,22.57101777
308,113.6568463,22.57101777
309,113.6578279,22.57101777
310,113.6588096,22.57101777
311,113.6597913,22.57101777
312,113.625433,22.5719137
313,113.6264147,22.5719137
314,113.6273963,22.5719137
315,113.628378,22.5719137
316,113.6293597,22.5719137
317,113.6303413,22.5719137
318,113.631323,22.5719137
319,113.6323046,22.5719137
320,113.6332863,22.5719137
321,113.634268,22.5719137
322,113.6352496,22.5719137
323,113.6362313,22.5719137
324,113.637213,22.5719137
325,113.6381946,22.5719137
326,113.6391763,22.5719137
327,113.640158,22.5719137
328,113.6411396,22.5719137
329,113.6421213,22.5719137
330,113.643103,22.5719137
331,113.6440846,22.5719137
332,113.6450663,22.5719137
333,113.646048,22.5719137
334,113.6470296,22.5719137
335,113.6480113,22.5719137
336,113.6489929,22.5719137
337,113.6499746,22.5719137
338,113.6509563,22.5719137
339,113.6519379,22.5719137
340,113.6529196,22.5719137
341,113.6539013,22.5719137
342,113.6548829,22.5719137
343,113.6558646,22.5719137
344,113.6568463,22.5719137
345,113.6578279,22.5719137
346,113.6588096,22.5719137
347,113.6597913,22.5719137
348,113.6607729,22.5719137
349,113.6244513,22.57280963
350,113.625433,22.57280963
351,113.6264147,22.57280963
352,113.6273963,22.57280963
353,113.628378,22.57280963
354,113.6293597,22.57280963
355,113.6303413,22.57280963
356,113.631323,22.57280963
357,113.6323046,22.57280963
358,113.6332863,22.57280963
359,113.634268,22.57280963
360,113.6352496,22.57280963
361,113.6362313,22.57280963
362,113.637213,22.57280963
363,113.6381946,22.57280963
364,113.6391763,22.57280963
365,113.640158,22.57280963
366,113.6411396,22.57280963
367,113.6421213,22.57280963
368,113.643103,22.57280963
369,113.6440846,22.57280963
370,113.6450663,22.57280963
371,113.646048,22.57280963
372,113.6470296,22.57280963
373,113.6480113,22.57280963
374,113.6489929,22.57280963
375,113.6499746,22.57280963
376,113.6509563,22.57280963
377,113.6519379,22.57280963
378,113.6529196,22.57280963
379,113.6539013,22.57280963
380,113.6548829,22.57280963
381,113.6558646,22.57280963
382,113.6568463,22.57280963
383,113.6578279,22.57280963
384,113.6588096,22.57280963
385,113.6597913,22.57280963
386,113.6607729,22.57280963
387,113.6617546,22.57280963
388,113.6627363,22.57280963
389,113.6234697,22.57370556
390,113.6244513,22.57370556
391,113.625433,22.57370556
392,113.6264147,22.57370556
393,113.6273963,22.57370556
394,113.628378,22.57370556
395,113.6293597,22.57370556
396,113.6303413,22.57370556
397,113.631323,22.57370556
398,113.6323046,22.57370556
399,113.6332863,22.57370556
400,113.634268,22.57370556
401,113.6352496,22.57370556
402,113.6362313,22.57370556
403,113.637213,22.57370556
404,113.6381946,22.57370556
405,113.6391763,22.57370556
406,113.640158,22.57370556
407,113.6411396,22.57370556
408,113.6421213,22.57370556
409,113.643103,22.57370556
410,113.6440846,22.57370556
411,113.6450663,22.57370556
412,113.646048,22.57370556
413,113.6470296,22.57370556
414,113.6480113,22.57370556
415,113.6489929,22.57370556
416,113.6499746,22.57370556
417,113.6509563,22.57370556
418,113.6519379,22.57370556
419,113.6529196,22.57370556
420,113.6539013,22.57370556
421,113.6548829,22.57370556
422,113.6558646,22.57370556
423,113.6568463,22.57370556
424,113.6578279,22.57370556
425,113.6588096,22.57370556
426,113.6597913,22.57370556
427,113.6607729,22.57370556
428,113.6617546,22.57370556
429,113.6627363,22.57370556
430,113.6637179,22.57370556
431,113.6234697,22.5746015
432,113.6244513,22.5746015
433,113.625433,22.5746015
434,113.6264147,22.5746015
435,113.6273963,22.5746015
436,113.628378,22.5746015
437,113.6293597,22.5746015
438,113.6303413,22.5746015
439,113.631323,22.5746015
440,113.6323046,22.5746015
441,113.6332863,22.5746015
